,교환,문_,바닥,분경,불길,사무실,설치,소재,신고,연기,연료,옷_,용접,제품,좌측,진압,차량,창고,청소,초기,현장,화상
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,3,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
12,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
15,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,2,0,0,0,0,0,1
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0
21,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
27,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0
28,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1
29,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0
