,기계,난로,부품,분경,세척,신나,장갑,제품,채_,페인트,현장,화상,회사
0,0,0,0,0,2,2,0,0,0,0,0,0,0
1,0,1,0,1,1,1,2,0,0,0,1,0,0
2,0,0,0,1,1,2,0,1,0,0,0,0,1
3,0,0,0,0,0,1,2,0,1,0,0,0,0
4,0,0,0,0,0,3,0,0,0,1,1,0,0
5,0,0,0,0,0,2,3,0,2,1,0,1,0
6,0,0,0,0,0,1,2,1,0,0,0,1,0
7,0,0,1,0,0,1,3,0,1,1,0,1,0
8,0,0,0,1,0,2,0,0,0,0,0,0,0
9,0,1,0,0,0,1,0,1,0,0,1,0,0
10,0,1,0,0,0,2,0,0,0,0,0,1,1
11,1,3,1,1,3,3,2,0,0,0,1,0,0
12,0,0,0,0,0,1,0,0,0,0,1,0,0
13,0,0,0,1,0,1,0,0,0,0,0,0,0
14,0,0,0,0,0,1,0,0,0,1,0,1,0
15,2,0,0,0,0,3,0,0,0,0,0,1,0
16,1,0,1,0,0,2,0,0,0,0,0,2,1
17,0,0,0,0,0,1,0,0,0,0,0,0,0
