,건조,도포,도형,도형제,램프,바지,보수,부위,분경,상태,소재,알콜,옷_,작업복,제품,중자,현장,형_,형제,화상
0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,1,2,2,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,2,1
3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1
4,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1
5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,2,1,1,1,1,1,0,1,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
9,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,1
10,1,4,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
11,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1
12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1
13,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1
14,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
15,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
16,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0
17,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1
19,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,1,2,0
21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
23,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1
25,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
