,가스,가열,록지,무기,밸브,분해,불꽃,산소,상기,스파크,열_,용접,자료,정전기,진화,철판,첨부,탱크,토치,파일,호스,화상
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
5,1,2,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1
10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1
12,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
13,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,1,0,1
14,0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1
15,0,0,1,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0
16,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
18,0,1,1,1,0,0,1,2,2,0,0,1,0,0,0,1,1,0,1,1,0,1
19,0,1,1,1,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0
20,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,1
21,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,1,0,1
22,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,1
23,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
24,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
25,0,0,1,1,0,0,0,0,2,0,0,0,1,0,2,0,1,0,0,1,0,2
26,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0
27,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
28,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
29,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
