,기계,바닥,부위,분경,불꽃,소재,수리,스파크,신나,용접,작업복,전기,전문,절단,정전기,진압,청소,치료,현장,화상,회사
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,2,3,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0
4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
12,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
13,2,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0
14,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
16,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,2,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0
20,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
23,2,1,0,1,0,3,0,1,1,0,0,1,1,0,0,0,0,0,0,2,1
24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
28,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,5,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
30,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
