,기계,당사,물질,발견,발화,배관,부위,분경,불꽃,불똥,불명,사업,소재,용접,인화,작업복,장내,치료,현장,화물,화상
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
5,0,0,1,0,0,0,0,0,2,0,0,2,0,1,1,0,2,0,0,1,2
6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
9,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2
10,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,1
11,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1
12,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,1,1,1,0,1
18,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
20,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,1,0,1,0,1
21,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1
22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
25,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0
26,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,1,1,0,0,1
27,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
28,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1
