,교환,문_,바닥,분경,불길,사무실,설치,소재,신고,연기,연료,옷_,용접,제품,좌측,진압,차량,창고,청소,초기,현장,화상
교환,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,5,0,0,0,0,3
문_,0,3,0,2,0,0,2,0,0,1,0,0,0,0,0,3,1,0,0,0,1,3
바닥,0,0,27,6,0,2,0,0,0,10,0,0,0,1,0,1,0,30,15,0,0,1
분경,1,2,6,9,2,2,2,2,2,3,1,1,3,1,2,6,4,7,3,0,1,7
불길,0,0,0,2,5,0,0,1,3,2,2,0,0,1,1,5,1,1,0,0,1,4
사무실,0,0,2,2,0,10,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2
설치,0,2,0,2,0,0,3,0,0,0,0,0,1,0,0,3,1,0,0,0,1,2
소재,0,0,0,2,1,0,0,6,2,1,1,1,4,2,0,7,0,0,0,1,1,3
신고,0,0,0,2,3,0,0,2,4,0,1,0,2,2,0,5,1,1,0,0,1,4
연기,0,1,10,3,2,0,0,1,0,7,1,0,0,0,1,3,0,12,6,0,0,2
연료,1,0,0,1,2,0,0,1,1,1,3,0,0,0,0,4,4,0,0,0,0,2
옷_,0,0,0,1,0,1,0,1,0,0,0,4,0,0,1,2,0,2,3,1,1,3
용접,1,0,0,3,0,0,1,4,2,0,0,0,6,2,0,6,2,0,0,0,0,3
제품,0,0,1,1,1,0,0,2,2,0,0,0,2,3,0,3,0,1,0,0,0,4
좌측,0,0,0,2,1,0,0,0,0,1,0,1,0,0,3,1,0,1,0,0,0,3
진압,2,3,1,6,5,1,3,7,5,3,4,2,6,3,1,38,7,0,2,3,4,19
차량,5,1,0,4,1,0,1,0,1,0,4,0,2,0,0,7,15,0,0,0,1,7
창고,0,0,30,7,1,1,0,0,1,12,0,2,0,1,1,0,0,40,19,0,0,4
청소,0,0,15,3,0,1,0,0,0,6,0,3,0,0,0,2,0,19,14,0,0,1
초기,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,3,1,2
현장,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,4,1,0,0,1,3,2
화상,3,3,1,7,4,2,2,3,4,2,2,3,3,4,3,19,7,4,1,2,2,24
