,가스,경남,고철,교정,기계,드럼,바지,번_,번지,부산시,부위,분경,불꽃,불똥,산소,상기,선박,선수,설치,소재,수리,연결,연결부,옷_,왼손,용접,우측,인화,작업복,장갑,장내,절단,절단기,제거,제품,조선소,철판,탱크,테크,토치,파이프,해체,허벅지,현장,호수,호스,화상
가스,9,1,1,1,1,1,1,0,0,0,4,2,2,2,14,2,0,1,1,0,0,2,0,0,1,2,1,0,3,2,0,9,11,0,0,1,0,2,0,1,1,0,2,2,0,10,6
경남,1,8,0,0,0,0,0,1,3,1,0,7,0,0,9,1,0,0,0,8,0,0,0,3,0,0,0,0,2,0,0,10,6,1,1,1,3,1,1,1,0,1,1,0,0,4,6
고철,1,0,6,0,2,0,1,0,0,0,0,2,0,0,7,1,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,5,4,0,0,0,0,0,0,0,2,0,0,1,0,2,3
교정,1,0,0,9,1,0,0,0,0,0,0,2,0,1,5,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,4,0,0,0,0,0,2,3
기계,1,0,2,1,6,0,2,0,0,1,0,1,1,2,8,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,5,4,0,0,0,1,1,2,2,1,1,1,3,0,6,7
드럼,1,0,0,0,0,7,1,0,0,0,2,0,2,1,5,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,9,5,0,1,0,0,1,0,0,0,0,0,0,0,3,4
바지,1,0,1,0,2,1,14,0,0,0,0,0,3,3,15,1,0,0,0,0,0,1,0,2,0,2,0,1,3,0,0,12,3,0,1,0,2,0,0,0,0,0,1,5,1,3,10
번_,0,1,0,0,0,0,0,3,1,1,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,3,1,1,0,2,0,0,0,0,3,0,0,0,1,1
번지,0,3,0,0,0,0,0,1,5,0,0,3,0,0,8,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,4,4,1,1,0,3,0,1,0,1,1,0,0,0,4,4
부산시,0,1,0,0,1,0,0,1,0,4,0,2,0,0,3,1,0,1,0,5,0,0,0,2,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,1,0,1,0,0,0,1,2
부위,4,0,0,0,0,2,0,0,0,0,12,2,1,2,16,1,0,1,0,0,0,4,0,1,0,0,1,1,2,0,0,11,11,0,0,0,0,0,0,1,0,1,1,0,2,7,5
분경,2,7,2,2,1,0,0,1,3,2,2,23,4,2,31,2,1,1,1,12,1,1,2,9,1,3,3,1,8,1,2,26,14,2,2,2,4,1,2,4,2,2,1,1,0,10,19
불꽃,2,0,0,0,1,2,3,0,0,0,1,4,14,0,20,0,0,0,0,1,1,0,1,4,1,4,0,1,3,4,2,18,10,0,0,0,2,1,0,0,1,1,2,2,3,6,13
불똥,2,0,0,1,2,1,3,0,0,0,2,2,0,9,18,0,0,0,1,1,1,2,0,4,1,2,0,0,1,2,1,13,4,0,0,0,0,1,1,1,0,0,0,2,1,5,8
산소,14,9,7,5,8,5,15,5,8,3,16,31,20,18,228,1,3,3,6,15,8,10,7,26,10,21,4,5,16,14,4,103,66,4,5,4,14,7,10,15,5,11,4,12,17,68,86
상기,2,1,1,0,0,0,1,0,0,1,1,2,0,0,1,3,0,1,0,3,0,1,0,1,0,0,1,0,2,0,0,8,3,0,0,0,0,0,0,1,0,0,0,1,0,2,2
