,근무,라이터,라인,마무리,머리,물질,바닥,바지,발목,분경,분리,불길,불꽃,사원,상태,소리,소재,소화,아래,아세톤,양손,용탕,우측,응급처치,작업복,장갑,정리,정비,정전기,제거,종아리,좌측,진압,차량,착용,청소,플라스틱,허벅지,현장,호기,화상
근무,4,0,5,0,0,1,0,2,0,1,0,0,0,1,0,0,2,0,0,0,1,6,0,0,2,2,0,1,2,3,2,2,0,0,1,0,2,1,0,0,4
라이터,0,6,0,2,1,1,2,3,0,1,0,0,0,5,0,1,0,0,0,4,1,0,0,1,1,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,7
라인,5,0,11,0,0,1,0,3,0,3,0,0,0,3,0,0,2,0,0,0,1,18,0,0,3,2,0,3,2,5,6,6,0,0,3,0,2,0,0,0,5
마무리,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3
머리,0,1,0,0,3,1,2,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,3
물질,1,1,1,0,1,8,6,1,0,3,0,2,0,1,3,0,2,0,0,1,0,0,2,0,0,7,0,0,1,8,0,3,0,0,1,5,2,0,0,0,6
바닥,0,2,0,0,2,6,31,8,1,8,0,2,2,0,2,0,0,4,0,2,0,2,2,1,1,2,0,6,0,18,0,2,5,0,1,18,0,0,1,2,9
바지,2,3,3,0,0,1,8,32,1,8,3,4,6,11,0,1,1,3,2,4,1,8,2,2,4,6,0,3,2,12,2,2,3,2,3,5,0,1,2,0,20
발목,0,0,0,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,2
분경,1,1,3,1,1,3,8,8,1,17,0,2,3,3,2,0,1,1,0,2,1,6,1,1,2,11,0,3,1,14,4,5,1,0,3,9,1,2,1,3,10
분리,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2
불길,0,0,0,0,1,2,2,4,1,2,0,8,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,6,1,1,0,0,0,4,0,1,1,2,6
불꽃,0,0,0,0,0,0,2,6,0,3,0,2,5,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,1,0,0,1,0,3
사원,1,5,3,0,1,1,0,11,0,3,4,0,0,41,1,1,1,0,0,2,0,7,0,1,1,7,1,1,0,6,3,3,4,0,2,2,1,1,0,0,13
상태,0,0,0,0,0,3,2,0,0,2,0,1,0,1,4,0,1,0,0,0,0,0,2,0,0,8,0,0,0,8,0,2,0,2,1,2,1,0,0,1,2
소리,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3
소재,2,0,2,0,0,2,0,1,0,1,0,0,0,1,1,0,4,0,0,0,1,0,0,0,1,9,0,0,2,2,0,1,0,0,1,0,3,0,0,0,4
소화,0,0,0,0,0,0,4,3,0,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,1,3,0,0,1,0,0,2,0,0,1,1,4
아래,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3
아세톤,0,4,0,0,1,1,2,4,0,2,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4
양손,1,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,4,0,0,1,1,2,1,0,2,1,0,0,0,0,0,2,1,0,0,0,4
용탕,6,0,18,0,0,0,2,8,2,6,0,0,0,7,0,0,0,0,0,0,0,41,0,0,8,0,1,6,0,8,12,12,0,0,6,0,0,0,0,0,7
우측,0,0,0,0,0,2,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,6,0,0,4,0,2,0,8,0,1,0,2,2,2,0,0,0,0,1
응급처치,0,1,0,1,1,0,1,2,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,3,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2
작업복,2,1,3,1,0,0,1,4,2,2,0,0,0,1,0,0,1,0,0,0,1,8,0,1,6,0,1,1,1,1,3,3,0,0,1,1,0,2,0,0,5
장갑,2,0,2,0,0,7,2,6,0,11,0,0,2,7,8,0,9,1,0,0,2,0,4,0,0,64,0,2,2,6,0,7,2,0,11,0,9,0,2,1,13
정리,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,3
정비,1,0,3,0,0,0,6,3,0,3,0,0,0,1,0,0,0,1,0,0,0,6,2,0,1,2,0,4,0,6,2,2,1,0,2,5,0,0,0,1,2
정전기,2,0,2,0,0,1,0,2,1,1,1,0,0,0,0,0,2,1,0,0,2,0,0,0,1,2,0,0,7,3,1,1,0,1,0,2,2,1,0,0,5
제거,3,3,5,0,1,8,18,12,1,14,1,6,1,6,8,0,2,3,1,6,1,8,8,0,1,6,3,6,3,54,3,5,2,7,2,17,2,1,1,6,18
종아리,2,0,6,0,2,0,0,2,1,4,0,1,0,3,0,1,0,0,0,0,0,12,0,1,3,0,0,2,1,3,7,5,0,0,2,0,0,3,0,1,5
좌측,2,0,6,0,0,3,2,2,1,5,0,1,0,3,2,0,1,0,0,0,0,12,1,0,3,7,0,2,1,5,5,7,0,0,3,2,1,1,0,0,5
진압,0,1,0,0,0,0,5,3,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,3,0,1,2,0,0,1,0,4
차량,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,7,0,0,0,6,0,0,0,0,0,0,2
착용,1,0,3,0,0,1,1,3,0,3,0,0,1,2,1,0,1,0,0,0,0,6,2,0,1,11,0,2,0,2,2,3,1,0,4,0,1,0,1,0,3
청소,0,1,0,2,0,5,18,5,0,9,0,4,1,2,2,0,0,2,0,0,2,0,2,1,1,0,1,5,2,17,0,2,2,0,0,24,0,0,0,3,8
플라스틱,2,0,2,0,0,2,0,0,0,1,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,9,0,0,2,2,0,1,0,0,1,0,3,0,0,0,3
허벅지,1,0,0,0,2,0,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,3,1,0,0,0,0,0,4,0,1,4
현장,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,3,1,2
호기,0,0,0,0,1,0,2,0,0,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6,1,0,0,0,0,3,0,1,1,4,2
화상,4,7,5,3,3,6,9,20,2,10,2,6,3,13,2,3,4,4,3,4,4,7,1,2,5,13,3,2,5,18,5,5,4,2,3,8,3,4,2,2,35
