,가스,건물,결과,경기,기숙사,당시,대피,무릎,바닥,발견,발목,번_,부상,분경,사무실,상태,선_,설치,소재,수술,신고,연기,옥상,장내,제품,창고,치료,컨테이너,통증,화상,후송,흡입
가스,11,6,0,1,1,0,14,0,2,0,0,0,0,3,2,0,1,0,1,0,0,4,2,2,0,0,4,1,2,0,5,3
건물,6,18,0,0,6,0,17,0,3,1,0,0,2,0,0,2,0,0,0,0,2,3,5,3,0,0,0,0,0,2,5,0
결과,0,0,6,0,6,1,1,0,4,0,1,0,1,0,0,2,0,1,1,8,0,4,1,0,1,1,2,0,4,0,0,0
경기,1,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0
기숙사,1,6,6,3,30,1,4,1,4,5,0,1,0,2,1,2,0,2,2,8,5,7,0,0,0,1,2,3,4,7,3,3
당시,0,0,1,1,1,3,4,1,1,1,1,0,1,0,2,1,0,1,1,0,2,1,1,0,1,1,0,1,0,0,0,0
대피,14,17,1,0,4,4,62,4,8,2,4,9,3,11,8,4,4,4,2,2,1,12,7,7,4,3,4,0,2,3,10,5
무릎,0,0,0,0,1,1,4,3,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
바닥,2,3,4,0,4,1,8,1,6,0,0,0,0,0,2,3,0,1,0,8,0,6,1,1,0,0,2,0,4,0,1,0
발견,0,1,0,1,5,1,2,0,0,7,1,2,0,2,2,0,0,0,0,0,4,2,0,0,0,2,0,1,0,0,2,2
발목,0,0,1,0,0,1,4,0,0,1,6,0,3,1,0,0,0,0,2,2,0,0,1,1,1,1,1,0,0,0,0,0
번_,0,0,0,0,1,0,9,0,0,2,0,12,0,2,1,0,4,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
부상,0,2,1,0,0,1,3,0,0,0,3,0,4,0,0,1,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0
분경,3,0,0,0,2,0,11,0,0,2,1,2,0,10,2,0,1,0,1,0,1,3,0,2,0,1,4,0,2,1,4,3
사무실,2,0,0,0,1,2,8,2,2,2,0,1,0,2,6,2,0,2,0,0,1,4,0,0,0,1,2,0,1,0,2,2
상태,0,2,2,0,2,1,4,1,3,0,0,0,1,0,2,3,0,1,0,4,0,3,1,0,0,0,1,0,2,0,0,0
선_,1,0,0,0,0,0,4,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
설치,0,0,1,0,2,1,4,1,1,0,0,0,0,0,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
소재,1,0,1,2,2,1,2,0,0,0,2,0,1,1,0,0,0,0,4,0,0,0,1,1,1,1,1,2,0,0,0,0
수술,0,0,8,0,8,0,2,0,8,0,2,0,1,0,0,4,0,0,0,18,0,8,0,0,0,0,4,0,8,0,0,0
신고,0,2,0,2,5,2,1,0,0,4,0,1,0,1,1,0,0,0,0,0,6,1,0,0,0,1,0,2,0,1,2,1
연기,4,3,4,0,7,1,12,1,6,2,0,1,0,3,4,3,0,1,0,8,1,10,1,2,0,1,5,0,5,1,4,4
옥상,2,5,1,0,0,1,7,0,1,0,1,0,2,0,0,1,0,0,1,0,0,1,3,1,1,1,0,0,0,0,1,0
장내,2,3,0,0,0,0,7,0,1,0,1,0,0,2,0,0,0,0,1,0,0,2,1,3,0,0,2,0,0,0,2,1
제품,0,0,1,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,6,1,0,0,0,0,0,0
창고,0,0,1,0,1,1,3,1,0,2,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,3,0,0,0,0,1,1
치료,4,0,2,0,2,0,4,0,2,0,1,0,0,4,2,1,0,0,1,4,0,5,0,2,0,0,7,0,4,0,3,3
컨테이너,1,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0
통증,2,0,4,0,4,0,2,0,4,0,0,0,0,2,1,2,0,0,0,8,0,5,0,0,0,0,4,0,6,0,2,1
화상,0,2,0,0,7,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,6,1,1
후송,5,5,0,0,3,0,10,0,1,2,0,1,0,4,2,0,0,0,0,0,2,4,1,2,0,1,3,0,2,1,7,4
흡입,3,0,0,0,3,0,5,0,0,2,0,1,0,3,2,0,0,0,0,0,1,4,0,1,0,1,3,0,1,1,4,5
