,그라인더,바닥,바지,분경,분리,불꽃,불똥,상부,상태,선_,세척,소재,스파크,시경,앞_,옷_,용접,용접기,전신,조립,준비,철판,취부,판넬,페인트,현장,화상
그라인더,6,0,0,2,0,3,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3
바닥,0,9,1,0,0,3,0,0,2,2,0,2,2,0,0,0,3,2,2,0,2,5,1,4,5,6,1
바지,0,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,8,0,3
분경,2,0,1,8,0,2,1,4,3,4,1,1,2,0,1,0,4,0,1,4,1,1,2,3,10,0,8
분리,0,0,0,0,6,3,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2
불꽃,3,3,1,2,3,12,0,3,3,2,1,0,1,0,0,3,3,4,1,3,0,4,2,2,7,3,8
불똥,1,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,7,0,2
상부,2,0,0,4,0,3,0,6,2,1,0,0,0,0,0,0,2,0,0,1,1,1,2,0,6,0,4
상태,4,2,0,3,2,3,0,2,7,3,1,1,1,0,0,0,0,0,1,1,1,2,0,2,0,4,3
선_,2,2,0,4,0,2,0,1,3,7,1,0,2,0,0,0,5,1,0,5,0,3,2,0,2,0,4
세척,0,0,0,1,0,1,0,0,1,1,3,0,1,1,0,0,0,2,0,2,0,0,0,0,0,1,3
소재,0,2,0,1,0,0,1,0,1,0,0,5,1,1,1,2,1,0,2,1,1,0,0,6,1,3,3
스파크,0,2,0,2,0,1,0,0,1,2,1,1,3,0,1,0,1,1,1,1,0,2,0,3,2,0,2
시경,0,0,0,0,1,0,0,0,0,0,1,1,0,4,1,0,1,0,0,1,1,0,0,0,2,0,2
앞_,0,0,1,1,1,0,0,0,0,0,0,1,1,1,3,0,0,0,1,0,0,0,0,3,2,0,3
옷_,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,8,0,1,1,2,0,0,0,1,1,0,5
용접,0,3,2,4,0,3,2,2,0,5,0,1,1,1,0,0,10,1,0,4,1,3,4,1,12,0,6
용접기,0,2,0,0,0,4,0,0,0,1,2,0,1,0,0,1,1,6,1,0,0,2,0,1,2,2,3
전신,0,2,0,1,0,1,0,0,1,0,0,2,1,0,1,1,0,1,3,0,1,0,0,6,0,3,2
조립,0,0,0,4,0,3,0,1,1,5,2,1,1,1,0,2,4,0,0,14,1,0,2,2,2,2,8
준비,0,2,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,3,0,0,2,1,3,1
철판,2,5,1,1,0,4,0,1,2,3,0,0,2,0,0,0,3,2,0,0,0,6,1,0,5,0,2
취부,0,1,1,2,0,2,0,2,0,2,0,0,0,0,0,0,4,0,0,2,0,1,3,0,4,0,3
판넬,0,4,0,3,0,2,1,0,2,0,0,6,3,0,3,1,1,1,6,2,2,0,0,16,1,7,6
페인트,2,5,8,10,0,7,7,6,0,2,0,1,2,2,2,1,12,2,0,2,1,5,4,1,55,1,15
현장,0,6,0,0,2,3,0,0,4,0,1,3,0,0,0,0,0,2,3,2,3,0,0,7,1,12,2
화상,3,1,3,8,2,8,2,4,3,4,3,3,2,2,3,5,6,3,2,8,1,2,3,6,15,2,20
