,교환,모터,보충,분경,소재,쇼트,수리,스파크,시경,엔진,연료,옷_,유증,자동차,작동,장갑,전기,전선,정비,차량,척_,탱크,펌프,현장,혼_,화상,휘발유
교환,3,0,0,1,1,0,0,2,0,1,3,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0
모터,0,8,0,2,1,0,0,7,0,0,1,1,5,0,4,0,7,0,0,0,0,0,9,0,1,4,0
보충,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0
분경,1,2,1,10,3,1,0,10,0,0,2,2,1,2,1,1,7,0,1,2,2,0,1,2,0,8,0
소재,1,1,0,3,3,1,0,3,0,0,1,1,0,0,1,1,2,0,0,0,2,0,1,1,0,2,0
쇼트,0,0,0,1,1,3,1,1,0,1,2,0,0,1,0,2,2,0,0,0,2,0,0,1,0,1,0
수리,0,0,0,0,0,1,8,3,0,1,4,0,0,2,0,2,1,0,0,2,0,0,0,1,0,4,1
스파크,2,7,3,10,3,1,3,48,4,0,8,8,11,2,5,3,23,4,1,12,5,3,12,5,3,26,3
시경,0,0,0,0,0,0,0,4,4,0,2,2,0,0,1,1,1,2,1,5,0,1,1,0,0,1,0
엔진,1,0,0,0,0,1,1,0,0,3,6,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1
연료,3,1,0,2,1,2,4,8,2,6,32,4,4,5,3,2,4,0,3,17,0,7,3,1,2,4,6
옷_,0,1,0,2,1,0,0,8,2,0,4,10,2,2,0,1,2,3,0,0,0,0,0,0,0,7,0
유증,1,5,0,1,0,0,0,11,0,0,4,2,15,2,4,0,6,0,1,3,0,1,10,0,3,8,1
자동차,0,0,0,2,0,1,2,2,0,0,5,2,2,5,0,0,1,0,1,2,0,0,0,0,0,4,0
작동,1,4,0,1,1,0,0,5,1,0,3,0,4,0,7,0,4,0,1,5,0,1,8,0,0,3,0
장갑,0,0,0,1,1,2,2,3,1,1,2,1,0,0,0,4,2,2,0,2,2,0,0,2,0,2,1
전기,0,7,4,7,2,2,1,23,1,1,4,2,6,1,4,2,33,1,2,7,2,2,13,2,3,18,0
전선,0,0,0,0,0,0,0,4,2,0,0,3,0,0,0,2,1,6,0,0,0,0,0,1,0,4,0
정비,0,0,0,1,0,0,0,1,1,0,3,0,1,1,1,0,2,0,3,6,0,1,1,0,1,2,0
차량,1,0,0,2,0,0,2,12,5,2,17,0,3,2,5,2,7,0,6,41,0,8,5,2,1,5,4
척_,0,0,0,2,2,2,0,5,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,2,0,5,0
탱크,0,0,0,0,0,0,0,3,1,1,7,0,1,0,1,0,2,0,1,8,0,4,1,0,1,1,2
펌프,2,9,0,1,1,0,0,12,1,0,3,0,10,0,8,0,13,0,1,5,0,1,21,0,3,6,0
현장,0,0,1,2,1,1,1,5,0,0,1,0,0,0,0,2,2,1,0,2,2,0,0,5,0,4,1
혼_,0,1,0,0,0,0,0,3,0,0,2,0,3,0,0,0,3,0,1,1,0,1,3,0,3,2,1
화상,0,4,2,8,2,1,4,26,1,0,4,7,8,4,3,2,18,4,2,5,5,1,6,4,2,32,0
휘발유,0,0,0,0,0,0,1,3,0,1,6,0,1,0,0,1,0,0,0,4,0,2,0,1,1,0,4
