,건조,도포,도형,도형제,램프,바지,보수,부위,분경,상태,소재,알콜,옷_,작업복,제품,중자,현장,형_,형제,화상
건조,5,7,3,3,0,2,0,0,3,0,1,2,0,2,0,3,0,1,5,4
도포,7,27,0,8,0,3,0,1,8,0,4,2,0,7,0,0,1,0,9,5
도형,3,0,11,0,0,0,0,0,1,0,2,3,1,0,1,4,0,3,5,5
도형제,3,8,0,5,0,2,0,0,3,0,1,1,0,4,0,2,0,0,8,3
램프,0,0,0,0,3,0,0,1,0,0,0,6,4,0,0,0,0,0,1,2
바지,2,3,0,2,0,5,1,0,4,0,0,4,0,0,0,0,0,0,3,3
보수,0,0,0,0,0,1,6,3,2,2,2,6,0,2,0,0,0,0,0,3
부위,0,1,0,0,1,0,3,5,3,1,1,6,0,2,0,0,1,0,1,4
분경,3,8,1,3,0,4,2,3,13,3,4,8,3,8,1,2,3,3,12,10
상태,0,0,0,0,0,0,2,1,3,3,2,1,1,5,1,0,2,2,4,3
소재,1,4,2,1,0,0,2,1,4,2,5,4,1,5,1,1,1,2,5,5
알콜,2,2,3,1,6,4,6,6,8,1,4,59,21,4,4,2,3,0,4,22
옷_,0,0,1,0,4,0,0,0,3,1,1,21,24,3,2,5,1,2,8,8
작업복,2,7,0,4,0,0,2,2,8,5,5,4,3,19,1,4,5,7,17,8
제품,0,0,1,0,0,0,0,0,1,1,1,4,2,1,3,1,2,0,2,3
중자,3,0,4,2,0,0,0,0,2,0,1,2,5,4,1,10,0,3,9,4
현장,0,1,0,0,0,0,0,1,3,2,1,3,1,5,2,0,4,2,4,4
형_,1,0,3,0,0,0,0,0,3,2,2,0,2,7,0,3,2,6,7,3
형제,5,9,5,8,1,3,0,1,12,4,5,4,8,17,2,9,4,7,36,15
화상,4,5,5,3,2,3,3,4,10,3,5,22,8,8,3,4,4,3,15,20
