,가스,견해,경고,경북,고의,공구,과태료,관계,근무,기계,김천,내용,당일,도구,목적,미만,믹_,발화,배관,베스티,보고,보험,부과,부산,부위,분경,불꽃,사유,사이,산소,산업재,산재,상기,상태,생각,서기,서울,성심,소속,소재,스파크,연결,연기,옷_,요양,용접,응급실,응급처치,의거,의료,이내,작업복,장소,전문,전신,제거,제출,조사,조사표,조치,종결,준비,중구,지침,지하,진단,진압,진화,찌꺼기,차량,처리,처분,초기,최근,추정,출근,치료,탱크,통원,판단,페인트,폭발,한강,현장,호스,호흡,화상,회사,후송
가스,6,2,2,1,2,0,0,0,0,0,2,2,0,2,2,2,0,0,2,1,2,0,0,0,0,0,0,4,0,2,2,2,0,2,2,0,0,1,1,2,0,5,0,1,2,0,0,0,5,0,2,0,3,0,1,0,0,2,2,2,2,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,2,0,0,2,0,0,1,0,4,0,5,0,2
견해,2,11,5,0,3,1,4,1,0,1,1,11,0,11,11,3,1,0,0,0,13,5,3,2,2,0,3,22,2,1,9,6,1,5,2,1,1,0,2,3,1,1,0,1,6,4,0,0,4,3,3,1,11,0,0,0,3,14,4,4,3,0,1,3,0,3,1,1,0,0,9,3,0,3,0,0,9,0,2,5,2,0,0,5,2,0,18,2,0
경고,2,5,5,0,3,0,0,1,0,1,1,5,0,5,5,3,0,0,0,0,5,1,0,0,2,0,2,10,1,1,3,4,0,1,2,0,0,0,0,2,0,1,0,1,2,1,0,0,3,1,2,1,5,0,0,0,0,5,2,3,3,0,0,1,0,2,0,1,0,0,4,2,0,3,0,0,7,0,1,2,0,0,0,2,2,0,7,1,0
경북,1,0,0,9,0,2,0,0,0,0,4,0,0,0,0,0,4,0,8,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,1,1,10,4,5,4,0,0,0,0,0,0,4,0,0,0,2,0,4,0,0,0,0,0,0,2,0,4,0,0,0,4,0,0,0,0,0,0,0,11,4,0,0,2,0,1,0,0,0,7,0,1
고의,2,3,3,0,3,0,0,1,0,0,1,3,0,3,3,3,0,0,0,0,3,1,0,0,0,0,0,6,0,0,2,3,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,3,1,1,0,3,0,0,0,0,3,2,2,3,0,0,0,0,0,0,1,0,0,4,2,0,2,0,0,1,0,0,2,0,0,0,1,2,0,3,0,0
공구,0,1,0,2,0,3,0,0,0,0,1,1,0,1,1,0,1,1,3,0,1,0,0,0,0,1,2,2,0,0,1,0,1,0,0,1,0,0,0,2,1,1,1,0,1,0,0,1,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,6,1,2,1,0,0,0,2,0,0,5,0,0
과태료,0,4,0,0,0,0,4,0,0,0,0,4,0,4,4,0,0,0,0,0,6,4,3,2,0,0,1,8,1,0,5,2,0,4,0,0,1,0,2,1,0,0,0,0,3,3,0,0,1,2,1,0,4,0,0,0,3,6,2,0,0,0,1,2,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,8,1,0
관계,0,1,1,0,1,0,0,3,1,0,0,3,0,1,1,1,0,1,0,0,1,0,0,0,0,2,0,2,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,3,0,0,1,0,0,1,1,0,0,4,1,1
근무,0,0,0,0,0,0,0,1,5,1,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,1,0,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,2,0,1,0,0,2,0,0,2,10,0,2,0,0,1,0,0,1,0,7,2,0
기계,0,1,1,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,5,0,1,0,0,0,0,1,1,0,3,3,1
