,가스,가스통,교환,금형,누출,라인,바닥,배출,밸브,부산시,부탄가스,분경,불꽃,사원,상황,선_,소리,소재,순식간,스파크,시경,연료,예열,옷_,용접,일부,자동차,작동,장치,전신,절단,절단기,접착제,정전기,제거,차량,치료,토치,파이프,현장,호스,화기,화상,회사,후송,휴대,흡입
가스,134,5,5,5,31,10,9,7,34,4,11,21,10,8,6,3,9,19,6,9,6,5,8,3,5,6,4,13,7,8,9,13,1,3,6,17,7,12,4,14,11,5,55,10,4,6,3
가스통,5,3,1,0,2,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,3,3,1,1,0
교환,5,1,11,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,0,0,0,1,1,0,0,1,0,4,2,0,0,0,0
금형,5,0,0,3,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,2,0,1,0,1,0,0
누출,31,2,3,1,25,5,3,0,6,2,1,5,4,5,1,0,2,5,3,2,1,1,1,1,1,2,2,0,0,2,5,6,0,2,1,13,1,3,1,4,2,1,16,4,1,1,0
라인,10,0,6,0,5,16,0,0,6,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0
바닥,9,1,0,0,3,0,8,0,1,0,6,0,1,0,0,2,2,2,0,3,1,0,0,0,1,0,0,4,0,2,0,3,0,1,3,0,2,0,0,2,1,1,5,3,1,3,1
배출,7,0,0,0,0,0,0,7,2,0,0,1,0,0,0,0,0,2,0,2,0,1,0,0,0,2,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0
밸브,34,1,0,2,6,6,1,2,31,1,0,6,3,2,3,0,2,9,0,3,2,0,5,0,3,2,0,4,2,0,1,0,0,0,0,0,1,3,0,1,1,0,12,3,1,1,0
부산시,4,0,0,0,2,0,0,0,1,3,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
부탄가스,11,0,0,1,1,0,6,0,0,0,20,1,3,0,3,0,0,0,0,3,3,1,0,0,0,0,1,6,3,3,0,0,0,0,3,2,0,7,0,4,0,0,6,0,0,3,0
분경,21,1,1,0,5,2,0,1,6,2,1,16,1,1,1,0,0,2,0,0,0,3,1,0,1,0,2,1,2,2,2,0,2,0,0,3,0,4,1,2,2,0,13,1,1,0,0
불꽃,10,0,0,0,4,0,1,0,3,0,3,1,6,2,2,0,1,1,2,1,1,0,1,0,1,1,0,0,1,0,2,2,0,1,0,5,0,4,0,2,2,0,5,0,0,0,0
사원,8,0,0,0,5,4,0,0,2,0,0,1,2,6,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,1,2,4,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0
상황,6,0,0,0,1,0,0,0,3,0,3,1,2,0,3,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,3,0,0,0,0
선_,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,1,1,0,0,0,2
소리,9,2,0,0,2,0,2,0,2,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,2,3,6,2,4,0
소재,19,1,0,1,5,0,2,2,9,2,0,2,1,0,1,1,2,10,0,3,0,0,2,2,3,2,0,2,1,1,1,2,0,1,0,0,2,0,0,1,1,1,7,3,1,1,1
순식간,6,0,0,0,3,0,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,1,6,0,1,0,0,1,0,2,0,0,0,0
스파크,9,0,0,0,2,0,3,2,3,0,3,0,1,0,0,0,0,3,0,6,0,0,0,1,0,2,0,4,1,1,0,0,1,2,2,0,0,0,0,1,0,0,4,0,0,1,0
시경,6,0,0,0,1,0,1,0,2,0,3,0,1,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,2,0,2,0,0,3,1,0,0,0
연료,5,0,1,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
예열,8,0,0,2,1,0,0,0,5,0,0,1,1,0,1,0,0,2,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,3,0,1,0,0
옷_,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
용접,5,0,0,0,1,0,1,0,3,0,0,1,1,0,1,1,0,3,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1
일부,6,0,0,0,2,0,0,2,2,0,0,0,1,2,0,0,0,2,1,2,0,0,0,0,0,3,0,2,1,0,1,2,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0
자동차,4,0,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,2,0,1,0,0
작동,13,0,0,1,0,1,4,2,4,0,6,1,0,1,0,0,0,2,0,4,0,0,1,0,0,2,0,10,3,4,0,0,0,0,2,0,0,2,0,0,2,0,6,0,1,2,0
장치,7,0,0,0,0,1,0,2,2,0,3,2,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,3,4,1,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0
전신,8,0,0,1,2,1,2,0,0,1,3,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,4,1,4,0,0,0,0,1,0,0,2,0,0,2,0,4,0,1,1,0
절단,9,0,6,0,5,4,0,0,1,2,0,2,2,2,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,11,7,0,0,0,5,0,1,3,0,2,2,5,0,1,0,0
절단기,13,0,3,0,6,2,3,0,0,1,0,0,2,4,0,3,0,2,2,0,3,0,0,2,1,2,0,0,0,0,7,20,0,0,3,10,0,0,2,0,0,1,7,0,0,0,0
접착제,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,3,0,0,0,0
정전기,3,0,0,0,2,0,1,3,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0
제거,6,0,0,0,1,0,3,0,0,0,3,0,0,0,1,1,0,0,1,2,1,0,0,1,0,0,1,2,0,1,0,3,1,0,4,1,0,0,0,0,0,0,3,0,0,1,0
차량,17,0,1,0,13,0,0,0,0,0,2,3,5,10,1,0,0,0,6,0,0,3,0,0,0,5,3,0,0,0,5,10,0,0,1,31,0,0,0,0,0,0,7,0,0,0,0
치료,7,2,1,0,1,0,2,0,1,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,3,2,3,1,2,1
토치,12,0,0,3,3,0,0,0,3,0,7,4,4,0,2,0,1,0,1,0,2,0,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,21,0,3,8,0,9,0,2,0,0
파이프,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,3,0,1,0,2,0,1,0,0
현장,14,1,1,1,4,1,2,0,1,0,4,2,2,0,1,1,0,1,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,3,0,13,0,2,6,1,0,0,3
호스,11,1,0,2,2,0,1,0,1,0,0,2,2,0,0,0,3,1,1,0,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,1,8,1,0,13,0,8,3,3,1,0
화기,5,1,4,0,1,2,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0,0,2,0,4,1,0,0,1,1
화상,55,3,2,1,16,5,5,4,12,3,6,13,5,4,3,1,3,7,2,4,3,2,3,2,2,2,2,6,4,4,5,7,3,2,3,7,2,9,2,6,8,1,38,5,3,2,0
회사,10,3,0,0,4,0,3,0,3,0,0,1,0,0,0,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,5,11,3,3,0
후송,4,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,2,1,0,3,0,3,3,3,1,0
휴대,6,1,0,0,1,0,3,0,1,0,3,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,1,1,2,3,1,3,0
흡입,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,3
