,가스,가열,록지,무기,밸브,분해,불꽃,산소,상기,스파크,열_,용접,자료,정전기,진화,철판,첨부,탱크,토치,파일,호스,화상
가스,4,2,0,0,2,1,0,2,8,0,2,1,0,0,0,0,0,0,1,0,1,0
가열,2,6,2,2,2,1,1,4,8,0,2,1,0,0,0,1,2,0,3,2,0,1
록지,0,2,15,15,0,1,3,5,22,3,1,3,4,2,4,2,15,4,1,15,0,11
무기,0,2,15,15,0,1,3,5,22,3,1,3,4,2,4,2,15,4,1,15,0,11
밸브,2,2,0,0,3,0,0,0,6,1,1,0,0,0,0,0,0,1,1,0,0,0
분해,1,1,1,1,0,3,1,2,5,0,1,0,0,0,0,0,1,0,0,1,0,0
불꽃,0,1,3,3,0,1,4,2,5,0,0,2,1,0,1,1,3,0,1,3,0,1
산소,2,4,5,5,0,2,2,17,18,0,0,4,1,0,0,2,5,0,2,5,4,3
상기,8,8,22,22,6,5,5,18,90,6,6,4,7,4,9,6,22,4,5,22,6,28
스파크,0,0,3,3,1,0,0,0,6,4,1,1,0,0,0,0,3,5,0,3,0,3
열_,2,2,1,1,1,1,0,0,6,1,3,0,0,0,0,0,1,1,1,1,0,1
용접,1,1,3,3,0,0,2,4,4,1,0,4,0,0,1,1,3,3,1,3,1,2
자료,0,0,4,4,0,0,1,1,7,0,0,0,4,0,3,0,4,0,0,4,0,4
정전기,0,0,2,2,0,0,0,0,4,0,0,0,0,3,1,0,2,0,0,2,0,2
진화,0,0,4,4,0,0,1,0,9,0,0,1,3,1,8,0,4,0,0,4,0,7
철판,0,1,2,2,0,0,1,2,6,0,0,1,0,0,0,3,2,0,1,2,0,3
첨부,0,2,15,15,0,1,3,5,22,3,1,3,4,2,4,2,15,4,1,15,0,11
탱크,0,0,4,4,1,0,0,0,4,5,1,3,0,0,0,0,4,11,0,4,0,4
토치,1,3,1,1,1,0,1,2,5,0,1,1,0,0,0,1,1,0,3,1,0,2
파일,0,2,15,15,0,1,3,5,22,3,1,3,4,2,4,2,15,4,1,15,0,11
호스,1,0,0,0,0,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,3,1
화상,0,1,11,11,0,0,1,3,28,3,1,2,4,2,7,3,11,4,2,11,1,19
