,기계,바닥,부위,분경,불꽃,소재,수리,스파크,신나,용접,작업복,전기,전문,절단,정전기,진압,청소,치료,현장,화상,회사
기계,104,10,16,24,9,15,14,7,7,13,4,4,6,10,9,4,7,9,6,35,5
바닥,10,11,0,1,8,3,0,1,7,6,0,1,1,0,2,0,5,0,0,3,1
부위,16,0,14,6,0,3,0,2,0,0,1,1,0,1,1,0,0,3,1,4,2
분경,24,1,6,20,0,6,5,3,1,2,3,2,2,2,3,3,1,2,2,11,4
불꽃,9,8,0,0,9,0,0,0,4,4,1,0,0,0,4,0,6,0,0,4,0
소재,15,3,3,6,0,15,0,3,3,0,0,3,6,0,2,0,0,5,0,11,3
수리,14,0,0,5,0,0,10,1,1,3,1,0,0,4,0,0,0,0,0,2,0
스파크,7,1,2,3,0,3,1,5,2,0,1,2,1,0,1,0,0,0,1,5,3
신나,7,7,0,1,4,3,1,2,6,4,0,1,1,0,0,0,2,0,0,3,1
용접,13,6,0,2,4,0,3,0,4,8,2,0,0,1,0,0,2,0,0,2,0
작업복,4,0,1,3,1,0,1,1,0,2,4,0,0,0,1,0,0,0,1,4,1
전기,4,1,1,2,0,3,0,2,1,0,0,3,1,0,0,0,0,0,0,3,2
전문,6,1,0,2,0,6,0,1,1,0,0,1,3,0,1,0,0,3,0,5,1
절단,10,0,1,2,0,0,4,0,0,1,0,0,0,4,0,0,0,0,0,2,0
정전기,9,2,1,3,4,2,0,1,0,0,1,0,1,0,8,1,4,1,1,5,1
진압,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
청소,7,5,0,1,6,0,0,0,2,2,0,0,0,0,4,0,6,0,0,3,0
치료,9,0,3,2,0,5,0,0,0,0,0,0,3,0,1,0,0,6,0,4,0
현장,6,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,4,1,1
화상,35,3,4,11,4,11,2,5,3,2,4,3,5,2,5,0,3,4,1,33,4
회사,5,1,2,4,0,3,0,3,1,0,1,2,1,0,1,0,0,0,1,4,4
