,기계,당사,물질,발견,발화,배관,부위,분경,불꽃,불똥,불명,사업,소재,용접,인화,작업복,장내,치료,현장,화물,화상
기계,3,1,0,1,0,0,0,2,0,0,1,3,2,1,0,2,3,1,0,0,2
당사,1,3,0,0,0,0,0,2,0,0,1,2,1,1,0,1,3,0,0,0,3
물질,0,0,3,0,1,0,0,0,2,0,0,4,0,3,2,0,4,0,0,1,2
발견,1,0,0,3,0,0,0,1,0,1,0,2,1,0,0,0,3,1,1,0,2
발화,0,0,1,0,3,0,1,0,1,0,0,3,0,0,0,0,3,0,0,1,1
배관,0,0,0,0,0,9,2,0,0,2,0,7,2,5,0,0,5,2,2,0,4
부위,0,0,0,0,1,2,3,0,1,0,0,4,1,0,0,3,3,1,2,0,3
분경,2,2,0,1,0,0,0,6,0,0,1,6,2,1,0,1,6,1,0,0,6
불꽃,0,0,2,0,1,0,1,0,7,0,0,7,1,4,2,3,7,1,1,3,6
불똥,0,0,0,1,0,2,0,0,0,3,0,2,0,4,0,0,3,1,1,0,3
불명,1,1,0,0,0,0,0,1,0,0,4,3,0,0,0,1,4,0,0,1,4
사업,3,2,4,2,3,7,4,6,7,2,3,33,5,12,4,5,30,3,3,4,21
소재,2,1,0,1,0,2,1,2,1,0,0,5,4,3,0,1,4,1,1,0,4
용접,1,1,3,0,0,5,0,1,4,4,0,12,3,19,3,1,12,2,0,1,9
인화,0,0,2,0,0,0,0,0,2,0,0,4,0,3,3,0,3,0,0,1,3
작업복,2,1,0,0,0,0,3,1,3,0,1,5,1,1,0,11,5,3,3,0,4
장내,3,3,4,3,3,5,3,6,7,3,4,30,4,12,3,5,31,3,3,4,22
치료,1,0,0,1,0,2,1,1,1,1,0,3,1,2,0,3,3,3,1,0,3
현장,0,0,0,1,0,2,2,0,1,1,0,3,1,0,0,3,3,1,3,0,3
화물,0,0,1,0,1,0,0,0,3,0,1,4,0,1,1,0,4,0,0,3,2
화상,2,3,2,2,1,4,3,6,6,3,4,21,4,9,3,4,22,3,3,2,27
