,개폐,건물,근무,드럼,발화,분경,불길,불꽃,소방서,소재,소화기,스파크,시도,신고,옷_,원료,전기,정전기,진압,진화,집진기,최초,치료,투입,현장,화상,회사,후송
개폐,3,0,1,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,1,4,1,0,0,0,0,2,0,1
건물,0,4,1,0,0,0,0,0,2,1,4,0,1,0,0,0,0,0,3,1,0,0,1,0,0,4,1,1
근무,1,1,3,0,0,1,0,0,0,0,2,0,1,0,0,4,0,0,2,3,0,0,0,0,0,2,1,0
드럼,0,0,0,14,0,1,3,0,0,0,5,0,0,0,9,0,0,2,5,1,0,0,0,5,0,5,0,2
발화,0,0,0,0,6,1,0,0,0,0,4,0,0,0,1,0,0,1,1,3,2,2,0,0,0,2,2,0
분경,2,0,1,1,1,16,3,6,1,3,16,0,0,1,1,2,1,4,11,10,5,3,2,0,2,12,2,1
불길,0,0,0,3,0,3,8,0,2,0,5,0,1,0,3,1,1,0,4,2,4,0,0,1,0,4,2,0
불꽃,0,0,0,0,0,6,0,12,0,2,9,1,0,2,2,0,1,0,3,4,0,1,1,0,2,3,0,1
소방서,0,2,0,0,0,1,2,0,3,1,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,3,1,1
소재,1,1,0,0,0,3,0,2,1,5,4,0,1,1,0,0,0,2,4,1,1,0,1,0,0,4,0,0
소화기,1,4,2,5,4,16,5,9,3,4,56,6,1,4,8,3,6,8,34,15,5,6,3,2,3,32,4,3
스파크,0,0,0,0,0,0,0,1,0,0,6,4,0,1,1,0,1,1,3,1,0,0,0,0,1,5,0,0
시도,0,1,1,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,2,2,0,0,0,0,0,3,1,0
신고,0,0,0,0,0,1,0,2,0,1,4,1,0,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0
옷_,0,0,0,9,1,1,3,2,0,0,8,1,0,0,17,0,0,1,4,4,0,0,0,3,0,4,0,0
원료,2,0,4,0,0,2,1,0,0,0,3,0,0,0,0,9,1,0,3,6,0,0,0,0,0,3,0,0
전기,0,0,0,0,0,1,1,1,0,0,6,1,0,0,0,1,4,0,4,2,0,0,0,0,0,3,0,0
정전기,0,0,0,2,1,4,0,0,0,2,8,1,0,0,1,0,0,10,7,3,0,0,2,2,0,9,1,1
진압,1,3,2,5,1,11,4,3,3,4,34,3,2,1,4,3,4,7,34,3,3,5,2,2,3,25,2,3
진화,4,1,3,1,3,10,2,4,0,1,15,1,2,1,4,6,2,3,3,39,4,3,1,1,1,21,3,1
집진기,1,0,0,0,2,5,4,0,2,1,5,0,0,0,0,0,0,0,3,4,13,0,0,0,0,5,2,0
최초,0,0,0,0,2,3,0,1,0,0,6,0,0,0,0,0,0,0,5,3,0,7,0,0,1,3,1,0
치료,0,1,0,0,0,2,0,1,0,1,3,0,0,0,0,0,0,2,2,1,0,0,3,0,0,3,0,1
투입,0,0,0,5,0,0,1,0,0,0,2,0,0,0,3,0,0,2,2,1,0,0,0,3,0,3,0,1
현장,0,0,0,0,0,2,0,2,0,0,3,1,0,1,0,0,0,0,3,1,0,1,0,0,4,4,0,0
화상,2,4,2,5,2,12,4,3,3,4,32,5,3,1,4,3,3,9,25,21,5,3,3,3,4,45,4,4
회사,0,1,1,0,2,2,2,0,1,0,4,0,1,0,0,0,0,1,2,3,2,1,0,0,0,4,4,0
후송,1,1,0,2,0,1,0,1,1,0,3,0,0,0,0,0,0,1,3,1,0,0,1,1,0,4,0,4
