,공급,공기,그라인더,기계,라인,바닥,발화,밸브,번지,부위,분경,불꽃,불씨,비산,산소,상반신,상의,상태,선_,소재,에어,연결,옷_,용접,용접기,우측,인화,자켓,작업복,장갑,잭_,절단기,제작,조끼,주입,준비,중공업,중앙,진화,착용,체결,취부,치료,폭발,해임,현장,호스,화상,확산
공급,19,9,1,0,10,0,5,0,1,4,6,5,0,1,14,1,0,1,1,2,6,10,0,1,0,0,0,2,9,0,4,0,1,3,1,0,0,1,0,0,1,0,2,0,2,0,1,6,0
공기,9,20,0,0,8,0,3,7,0,2,9,11,1,0,22,4,0,2,0,1,8,9,2,10,0,0,0,2,6,0,5,0,4,21,13,1,2,2,0,8,1,0,1,4,1,1,3,10,0
그라인더,1,0,5,0,1,0,0,2,1,0,2,2,0,1,6,2,0,1,0,3,5,7,1,0,0,0,0,2,0,0,2,0,0,5,0,0,0,0,0,2,0,0,1,0,1,0,1,2,0
기계,0,0,0,6,2,4,0,0,2,0,3,0,0,0,3,0,0,0,0,0,1,5,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,4,12,4,0
라인,10,8,1,2,51,0,4,1,0,2,4,15,1,6,41,2,0,1,0,0,7,26,6,3,0,0,0,1,5,0,2,0,2,6,4,7,0,0,0,1,8,0,0,0,2,2,11,10,0
바닥,0,0,0,4,0,9,0,0,2,0,3,2,0,0,0,0,0,0,0,0,4,4,1,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,13,3,1
발화,5,3,0,0,4,0,18,0,0,1,7,2,0,0,10,1,0,0,1,4,2,4,1,2,4,0,1,1,2,1,1,0,1,3,1,0,0,0,1,0,1,1,1,0,1,2,11,9,0
밸브,0,7,2,0,1,0,0,10,0,0,4,4,0,0,12,2,0,1,0,0,2,10,0,6,0,0,0,0,1,0,0,0,2,12,8,1,0,0,0,5,0,0,0,2,0,0,3,2,1
번지,1,0,1,2,0,2,0,0,3,0,2,0,0,1,2,0,0,1,0,2,1,4,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,4,3,0
부위,4,2,0,0,2,0,1,0,0,3,1,1,0,0,3,0,0,1,0,0,0,2,0,0,0,2,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,3,2,0
분경,6,9,2,3,4,3,7,4,2,1,22,9,3,1,24,2,0,5,2,6,12,16,1,14,3,1,0,12,6,4,2,1,1,8,5,1,2,2,0,8,2,3,4,2,1,3,23,13,4
불꽃,5,11,2,0,15,2,2,4,0,1,9,26,2,2,20,3,3,3,0,1,9,11,4,11,2,0,2,4,6,0,3,0,3,13,8,3,0,0,1,8,1,1,0,1,1,0,11,15,3
불씨,0,1,0,0,1,0,0,0,0,0,3,2,4,0,2,0,0,2,1,0,1,1,0,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,2,0
비산,1,0,1,0,6,0,0,0,1,0,1,2,0,4,8,0,1,1,0,2,3,7,1,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,3,0
산소,14,22,6,3,41,0,10,12,2,3,24,20,2,8,102,9,3,3,2,11,33,57,9,27,6,4,1,17,9,3,11,5,7,37,18,7,4,5,1,9,11,6,5,7,4,8,39,35,7
상반신,1,4,2,0,2,0,1,2,0,0,2,3,0,0,9,4,0,0,0,2,6,5,1,1,0,0,0,0,0,0,2,0,2,12,4,0,0,0,0,2,1,0,0,1,1,0,1,2,0
상의,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,3,0,0,1,2,2,0,3,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0
상태,1,2,1,0,1,0,0,1,1,1,5,3,2,1,3,0,0,8,2,1,5,1,0,8,0,0,0,7,4,0,0,0,0,0,2,1,0,0,1,7,0,2,1,0,1,2,4,5,0
선_,1,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,2,3,1,4,6,0,3,0,0,1,3,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,2,1,0
소재,2,1,3,0,0,0,4,0,2,0,6,1,0,2,11,2,1,1,1,11,9,13,2,5,1,0,0,4,1,1,2,0,0,6,1,0,1,1,0,1,0,0,4,2,1,2,8,9,0
에어,6,8,5,1,7,4,2,2,1,0,12,9,1,3,33,6,2,5,4,9,41,23,0,14,0,2,0,16,6,0,0,0,3,24,6,0,2,3,0,14,5,2,5,3,5,1,18,13,0
연결,10,9,7,5,26,4,4,10,4,2,16,11,1,7,57,5,2,1,6,13,23,79,9,16,3,2,2,12,8,4,9,4,3,19,6,5,0,6,2,7,2,3,8,4,1,7,21,16,1
옷_,0,2,1,0,6,1,1,0,0,0,1,4,0,1,9,1,0,0,0,2,0,9,9,0,1,0,0,1,0,0,8,0,0,3,0,1,0,2,0,0,0,1,0,0,0,3,3,8,1
용접,1,10,0,1,3,0,2,6,0,0,14,11,3,2,27,1,3,8,3,5,14,16,0,39,0,0,2,17,9,1,1,4,2,7,10,3,1,1,1,17,4,6,3,6,0,1,14,14,1
용접기,0,0,0,0,0,1,4,0,1,0,3,2,0,0,6,0,0,0,0,1,0,3,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,1
우측,0,0,0,0,0,2,0,0,0,2,1,0,0,0,4,0,0,0,0,0,2,2,0,0,0,6,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,7,3,2
인화,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,2,0,2,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,4,2,1
자켓,2,2,2,0,1,0,1,0,1,0,12,4,3,3,17,0,1,7,3,4,16,12,1,17,0,0,0,29,5,0,0,3,0,0,0,0,3,1,0,11,4,9,2,3,1,0,8,8,0
작업복,9,6,0,0,5,0,2,1,0,2,6,6,1,0,9,0,1,4,2,1,6,8,0,9,0,0,1,5,9,0,2,0,1,0,2,1,0,1,0,6,0,2,1,0,0,0,3,6,0
