,가스,건조,공정,미상,발화,부위,분경,불꽃,상기,상태,상황,세척,소량,소재,스파크,압력,용기,용접,제조,제품,척_,청소,필터,호기,화상,후송
가스,3,0,2,1,0,0,1,0,0,1,0,0,0,1,0,2,2,0,0,1,1,1,0,0,3,0
건조,0,5,6,0,1,0,2,0,1,0,1,1,1,1,0,0,1,1,3,4,0,0,0,0,5,1
공정,2,6,63,3,7,16,6,15,3,2,7,3,7,3,4,1,6,1,6,5,5,4,4,3,28,9
미상,1,0,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0
발화,0,1,7,0,3,4,0,3,0,1,1,1,2,0,0,0,1,1,0,0,2,0,0,0,3,1
부위,0,0,16,0,4,12,1,7,0,1,3,1,4,0,1,0,4,1,0,0,2,1,0,1,8,3
분경,1,2,6,1,0,1,6,1,1,0,1,2,1,0,1,0,3,1,2,4,0,2,1,0,5,0
불꽃,0,0,15,0,3,7,1,10,0,3,2,1,3,0,1,0,1,0,0,0,4,2,0,2,5,2
상기,0,1,3,0,0,0,1,0,5,0,2,0,1,0,0,3,5,1,1,1,1,0,0,1,4,2
상태,1,0,2,0,1,1,0,3,0,3,0,1,1,1,0,2,3,0,0,0,4,1,0,1,1,0
상황,0,1,7,0,1,3,1,2,2,0,3,0,2,0,0,1,1,0,1,1,0,0,0,1,4,1
세척,0,1,3,1,1,1,2,1,0,1,0,3,1,0,0,0,2,0,1,3,2,0,1,0,1,0
소량,0,1,7,0,2,4,1,3,1,1,2,1,4,0,0,0,2,0,1,1,2,0,0,0,4,1
소재,1,1,3,0,0,0,0,0,0,1,0,0,0,3,0,2,2,0,0,0,1,1,0,0,2,0
스파크,0,0,4,0,0,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,1,2,0
압력,2,0,1,0,0,0,0,0,3,2,1,0,0,2,0,9,9,2,0,0,2,2,0,1,3,0
용기,2,1,6,0,1,4,3,1,5,3,1,2,2,2,1,9,23,4,0,3,5,3,2,2,11,0
용접,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,2,0
제조,0,3,6,1,0,0,2,0,1,0,1,1,1,0,0,0,0,0,6,1,0,0,1,0,3,2
제품,1,4,5,1,0,0,4,0,1,0,1,3,1,0,0,0,3,0,1,11,0,0,0,0,5,0
척_,1,0,5,0,2,2,0,4,1,4,0,2,2,1,0,2,5,0,0,0,8,1,2,1,2,2
청소,1,0,4,0,0,1,2,2,0,1,0,0,0,1,3,2,3,0,0,0,1,6,0,1,4,0
필터,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,6,1,1,0
호기,0,0,3,0,0,1,0,2,1,1,1,0,0,0,1,1,2,0,0,0,1,1,1,4,3,0
화상,3,5,28,2,3,8,5,5,4,1,4,1,4,2,2,3,11,2,3,5,2,4,1,3,23,5
후송,0,1,9,0,1,3,0,2,2,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,5,6
